WORD	CXN.FREQ	CORP.FREQ
doveroso	452	3822
impossibile	3966	25678
bene	1105	6190
errato	58	1491
falso	54	21233
possibile	18450	122447
controproducente	34	1370
necessario	9203	72840
discutibile	7	3725
difficile	15639	103942
facile	8903	50474
solito	1103	23822
inquietante	20	9861
sconcertante	20	3761
curioso	255	11177
opportuno	1918	12937
inutile	3372	28056
giusto	4003	55821
duro	358	64059
assurdo	724	11714
urgente	344	9917
indispensabile	1114	16946
interessante	1233	23035
insensato	86	1672
sufficiente	1496	20933
utile	904	53415
legittimo	443	11745
immorale	37	1171
impensabile	238	3943
illusorio	153	1375
esagerato	74	1890
lecito	1607	4320
pericoloso	327	28735
bello	1370	114013
conveniente	154	3617
lungo	16	136261
ipocrita	54	1545
improprio	86	3110
superfluo	154	2415
sensato	32	1132
agevole	94	1766
scomodo	22	4853
raro	225	13294
comodo	67	5583
importante	2229	106534
piacevole	121	4152
sentito	24	705
vano	93	2454
determinante	24	6918
erroneo	8	336
rilevante	5	10976
miope	16	1070
sorprendente	40	8395
rischioso	93	4713
logico	290	4648
spiacevole	13	2017
proprio	12	150745
dovuto	172	2608
vitale	38	7259
equo	7	4537
offensivo	21	4962
ingenuo	96	4633
sbagliato	585	12410
terribile	94	17798
ragionevole	348	6255
suggestivo	13	3574
inevitabile	385	16904
imprudente	50	683
divertente	154	7460
spaventoso	10	4035
scorretto	52	2198
indifferente	23	5652
grottesco	21	4045
irrilevante	12	2127
ingiusto	283	4839
semplice	385	48051
accettabile	28	6058
elegante	23	11328
brutto	93	22085
prematuro	413	2379
arduo	254	3724
infantile	6	5309
sintomatico	5	652
preferibile	324	1467
azzardato	72	703
frequente	33	7857
realistico	132	5098
ozioso	24	406
utopistico	9	362
inopportuno	56	2069
decisivo	62	23359
confortante	45	2394
grato	6	2323
obbligatorio	352	8887
paradossale	40	5050
impressionante	36	5614
ipotizzabile	9	879
ovvio	69	9896
commovente	19	2102
antieconomico	8	272
ammissibile	37	1117
presuntuoso	12	1078
dannoso	29	3215
antipatico	13	1553
infondato	11	3434
triste	166	10278
vantaggioso	16	2117
naturale	133	25172
indegno	7	1363
